Related Products,Productos Relacionados,,,
You're reviewing:,Tu estas viendo,,,
categories,Categorías,,,
Main Categories,Categorias principales,,,
Customer Service,Servicio al cliente,,,
Popular Tags,Etiquetas Populares,,,
RSS Feeds,Noticas RSS,,,
Popular Search Terms,Terminos de busqueda populares,,,
SEARCH SETTINGS,Ajustes de busqueda,,,
Order Information,Informacion de pedido,,,
Order ID,Numero de Pedido,,,
Enter the billing last name and email/ZIP as in the order billing address,Llena los campos de a continuación,,,
Billing Last Name,Nombre y Apellido,,,
Find Order By:,Buscar pedido por:,,,
Email Address,Correo electronico,,
ZIP Code,Codigo postal,,,
Name,Nombre,,,
Catalog Advanced Search,Busqueda avanzada,,,
Product Description,Descripción de producto,,,
Additional Information,Información adicional,,,
Categories,Categorias,,,
Categories Sitemap,Categorias del mapa de sitio,,,
Sitemap,Mapa del sitio,,,
Products,Productos,,,
Products Sitemap,Productos del mapa del sitio,,,
Customer Service,Servicio al cliente,,,
Main Categories,Categorias,,,
Popular Tags,Etiquetas Populares,,,
RSS Feeds, Noticias RSS,
Catalog Advanced Search,Busqueda avanzada,,,
Advanced Search,Busqueda avanzada,,,
Popular Search Terms,Terminos de busqueda populares,,,
You may also be interested in the following product(s),Puede que le interesen estos productos,,,
Special Price,Precio especial,,,
* Required Fields,*Selección Requerida,,,
%s,%s,,,
Search entire store here...,Buscar en la tienda...,,,
Advanced Search,Busqueda Avanzada,,,
Search Terms,Terminos de busqueda,,,
Availability:,Disponibilidad:,,,
In stock,En existencia,,,
-OR-,O tambien usar,,,
Write Your Own Review,Escribir un comentario,,,
How do you rate this product?,Como califica este producto?,,,
You're reviewing: ,Tu estas viendo:,,,
You're reviewing: %s,Tu estas viendo: %s,,,
Overall,Rendimiento,,,
Quality,Calidad,,,
Nickname,Nombre,,,
Summary of Your Review,Asunto,,,
Review,Comentario,,,
Submit Review,Comentar,,,
Please type the letters below,Por favor escriba las letras de abajo,,,
Prefix,Prefijo,,,
Middle Name/Initial,Segundo Nombre,,,
Date of Birth,Fecha de nacimiento,,,
Tax/VAT number,RFC,,,
Sort By,Ordenar por,,,
Show,Mostrar,,,
View as:,Ver como:,,,
Search results for:,Resultados de:,,,
View All Tags,Ver todas las etiquetas,,,
%s Item(s),%s productos,,,
View as,Ver como,,,
Category,Categoria,,,
Home,Inicio,,,
